operation,language,kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
matmul,rust,tiled_matmul,352.293,2026-09-10T01:15:52.464123,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,353.334,2026-09-10T01:15:52.464148,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.684,2026-09-10T01:15:52.464158,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.009,2026-09-10T01:15:52.464167,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.903,2026-09-10T01:15:52.464175,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,351.676,2026-09-10T01:15:52.464182,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.854,2026-09-10T01:15:52.464190,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.724,2026-09-10T01:15:52.464197,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.846,2026-09-10T01:15:52.464205,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.107,2026-09-10T01:15:52.464212,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.879,2026-09-10T01:15:52.464223,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.683,2026-09-10T01:15:52.464230,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.651,2026-09-10T01:15:52.464238,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.488,2026-09-10T01:15:52.464245,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.903,2026-09-10T01:15:52.464253,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.724,2026-09-10T01:15:52.464260,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.627,2026-09-10T01:15:52.464267,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.432,2026-09-10T01:15:52.464278,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.944,2026-09-10T01:15:52.464286,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.87,2026-09-10T01:15:52.464293,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.204,2026-09-10T01:15:52.464300,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.391,2026-09-10T01:15:52.464307,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.772,2026-09-10T01:15:52.464315,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.619,2026-09-10T01:15:52.464343,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.707,2026-09-10T01:15:52.464352,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.879,2026-09-10T01:15:52.464403,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,351.155,2026-09-10T01:15:52.464416,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.789,2026-09-10T01:15:52.464424,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.399,2026-09-10T01:15:52.464432,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.521,2026-09-10T01:15:52.464439,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.887,2026-09-10T01:15:52.464447,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,350.05,2026-09-10T01:15:52.464455,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.358,2026-09-10T01:15:52.464463,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.968,2026-09-10T01:15:52.464470,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.163,2026-09-10T01:15:52.464478,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.838,2026-09-10T01:15:52.464485,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.846,2026-09-10T01:15:52.464493,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.163,2026-09-10T01:15:52.464500,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.359,2026-09-10T01:15:52.464507,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.39,2026-09-10T01:15:52.464515,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,352.554,2026-09-10T01:15:52.464522,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.521,2026-09-10T01:15:52.464530,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.26,2026-09-10T01:15:52.464537,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.39,2026-09-10T01:15:52.464545,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.131,2026-09-10T01:15:52.464552,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.163,2026-09-10T01:15:52.464559,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.098,2026-09-10T01:15:52.464567,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.65,2026-09-10T01:15:52.464575,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.098,2026-09-10T01:15:52.464582,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.203,2026-09-10T01:15:52.464589,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,350.277,2026-09-10T01:15:52.464596,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,350.993,2026-09-10T01:15:52.464604,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.529,2026-09-10T01:15:52.464611,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.529,2026-09-10T01:15:52.464619,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,349.171,2026-09-10T01:15:52.464626,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.423,2026-09-10T01:15:52.464633,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
